id,name,description,color,icon,batch,branch,is_active,created_at,updated_at
54bb9f5d-a6de-4801-9a72-2096b558e67c,BIOLOGY,Learn biology,#95E1D3,🧬,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
adf75f07-8e35-409b-a293-3ff8bd0208eb,CA,Learn ca,#FDCB6E,📊,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
c14fa0b8-9d05-4d2c-8ea1-e226ebaae777,CHEMISTRY,Learn chemistry,#4ECDC4,⚗️,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
425b119d-4002-4600-95a3-897822c63f22,CS,Learn cs,#00B894,💻,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
39159270-ba17-4dbf-888f-58b9482940ec,ECONOMICS,Learn economics,#6C5CE7,💰,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
70784a9b-1f0b-4234-828f-3158368436f6,ENGLISH LANGUAGE,Learn english language,#FFA502,✍️,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
51d8f006-0601-4b9a-888c-0e7c33ebb867,ENGLISH LITERATURE,Learn english literature,#FF6B9D,📚,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
8e9d8c44-fe11-4b86-b7ac-3c4f6309a3d4,GEOGRAPHY,Learn geography,#6C5CE7,🌍,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
d8cb536a-15b5-4e8a-bac9-2cb154162de6,HINDI,Learn hindi,#FF7675,🗣️,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
132cc810-ced4-4303-a35a-3cb63907c134,HISTORY,Learn history,#A29BFE,📖,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
03d19a3c-6be0-40f4-ac6d-61b72de12526,MATHS,Learn maths,#FFE66D,📐,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
c49b174d-3967-4747-bc86-e2711064fcc9,PHYSICS,Learn physics,#FF6B6B,🔬,ICSE 10,Thane,true,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
