id,name,description,color,icon,batch,branch,is_active,created_at,updated_at
,MATHS,Learn mathematics concepts,#FFE66D,📐,ICSE 10,Thane,true,2026-05-04T18:32:52.467854,2026-05-04T18:32:52.468293
,ENGLISH LITERATURE,Learn English literature,#FF6B9D,📚,ICSE 10,Thane,true,2026-05-04T18:32:52.468296,2026-05-04T18:32:52.468296
,ENGLISH LANGUAGE,Learn English language skills,#FFA502,✍️,ICSE 10,Thane,true,2026-05-04T18:32:52.468298,2026-05-04T18:32:52.468298
,PHYSICS,Learn physics concepts,#FF6B6B,🔬,ICSE 10,Thane,true,2026-05-04T18:32:52.468300,2026-05-04T18:32:52.468300
,CHEMISTRY,Learn chemistry concepts,#4ECDC4,⚗️,ICSE 10,Thane,true,2026-05-04T18:32:52.468302,2026-05-04T18:32:52.468302
,BIOLOGY,Learn biology concepts,#95E1D3,🧬,ICSE 10,Thane,true,2026-05-04T18:32:52.468304,2026-05-04T18:32:52.468304
,HISTORY,Learn history concepts,#A29BFE,📖,ICSE 10,Thane,true,2026-05-04T18:32:52.468306,2026-05-04T18:32:52.468306
,GEOGRAPHY,Learn geography concepts,#6C5CE7,🌍,ICSE 10,Thane,true,2026-05-04T18:32:52.468308,2026-05-04T18:32:52.468308
,CIVICS,Learn civics and government,#74B9FF,⚖️,ICSE 10,Thane,true,2026-05-04T18:32:52.468310,2026-05-04T18:32:52.468310
,HINDI,Learn Hindi language,#FF7675,🗣️,ICSE 10,Thane,true,2026-05-04T18:32:52.468312,2026-05-04T18:32:52.468312
,CS,Learn computer science,#00B894,💻,ICSE 10,Thane,true,2026-05-04T18:32:52.468314,2026-05-04T18:32:52.468314
,ECONOMICS,Learn economics concepts,#6C5CE7,💰,ICSE 10,Thane,true,2026-05-04T18:32:52.468316,2026-05-04T18:32:52.468316
,CA,Learn commercial applications,#FDCB6E,📊,ICSE 10,Thane,true,2026-05-04T18:32:52.468318,2026-05-04T18:32:52.468318
