subject_id,title,order_index,created_at,updated_at
,"1: STRUCTURE OF CHROMOSOMES,CELL CYCLE AND CELL DIVISION",1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: GENETICS,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: ABSORPTION BY ROOTS,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: TRANSPIRATION,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: PHOTOSYNTHESIS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: CHEMICAL COORDINATION IN PLANTS,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: THE CIRCULATORY SYSTEM,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: THE EXCRETORY SYSTEM,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: THE NERVOUS SYSTEM,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: SENSE ORGANS,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: THE ENDOCRINE SYSTEM,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: THE REPRODUCTIVITY SYSTEM,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: HUMAN EVOLUTION,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: POPULATION- THE INCREASING NUMBERS & RISING PROBLEMS,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: POLLUTION - A RISING ENVIRONMENTAL PROBLEM,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: PERIODIC TABLE,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: CHEMICAL BONDING,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,"3: ACID, BASES AND SALTS",3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: ANALYTICAL CHEMISTRY,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: MOLE CONCEPT,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: ELECTROLYSIS,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: METALLURGY,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: HYDROGEN CHLORIDE,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: AMMONIA,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: NITRIC ACID,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: SULPHURIC ACID,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: ORGANIC CHEMISTRY,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: PRACTICAL CHEMISTRY,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: STAKEHOLDERS IN COMMERCIAL ORGANISATIONS,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: MARKETING AND SALES,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: ADVERTISING AND SALES PROMOTION,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: CONSUMER PROTECTION,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: E-COMMERCE,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: CAPITAL AND REVENUE EXPENDITURE&INCOME,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: FINAL ACCOUNTS OF SOLE PROPRIETORSHIP,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: FUNDAMENTAL CONCEPTS OF COST,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: BUDGETING,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: SOURCES OF FINANCE,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: RECRUITMENT SELECTION AND TRAINING,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,"12: INDUSTRIAL RELATIONS, TRADE UNIONS AND SOCIAL SECURITY",12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: LOGISTICS AND INSURANCE,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: BANKING,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: STRIVING FOR BETTER ENVIRONMENT,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: FACTORS OF PRODUCTION,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: ELEMENTARY THEORY OF DEMAND,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: ELASTICITY OF DEMAND,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: THEORY OF SUPPLY,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: MEANING AND TYPES OF MARKET,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: MEANING AND FUNCTION OF MONEY,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: COMMERCIAL BANK,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: CENTRAL BANK,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: INTRODUCTION TO PUBLIC FINANCE,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: PUBLIC REVENUE,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: PUBLIC EXPENDITURE,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: PUBLIC DEBT,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: INFLATION,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: CONSUMER AWARENESS,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: INTERPRETATION OF TOPOGRAPHICAL MAPS,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: MAP OF INDIA,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: CLIMATE,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: SOIL RESOURCES,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: NATURAL VEGETATION,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: WATER RESOURCES,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: MINERAL RESOURCES,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: CONVENTIONAL SOURCES OF ENERGY,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: NON-CONVENTIONAL SOURCES OF ENERGY,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: AGRICULTURE-I,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: AGRICULTURE-II : FOOD CROPS,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: AGRICULTURE-III : CASH CROPS (1),12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: AGRICULTURE-IV : CASH CROPS (2),13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: MANUFACTURING INDUSTRIES AGRO- BASED,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: MINERAL BASED INDUSTRY,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,16: TRANSPORT,16,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,17: IMPACT OF WASTE ACCUMULATION,17,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,18: NEED FOR WASTE MANAGEMENT,18,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,"1: THE FIRST WAR IF INDEPENDENCE,1857",1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: GROWTH OF NATIONALISM,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: FIRST PHASE OF THE INDIAN NATIONAL MOVEMENT,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: SECOND PHASE OF THE INDIAN NATIONAL MOVEMENT,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: THE MUSLIM LEAGUE,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: MAHATMA GANDHI,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: QUIT INDIA MOVEMENT,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: FORWARD BLOC AND THE INA,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: INDEPENDENCE AND PARTITION OF INDIA,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: THE FIRST WORLD WAR,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: RISE OF DICTATORSHIP,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: THE SECOND WORLD WAR,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: UNITED NATIONS,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: MAJOR AGENCIES OF THE UNITED NATIONS,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: NON-ALIGNED MOVEMENT,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,16: THE UNION PARLIAMENT,16,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,17: THE PRESIDENT AND VICE PRESIDENT,17,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,18: PRIME MINISTER AND COUNCIL OF MINISTERS,18,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,19: THE SUPREME COURT,19,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,20: THE HIGH COURTS AND SUBORDINATE COURTS,20,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: EMAIL & NOTICE WRITING,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: FORMAL & INFORMAL LETTER WRITING,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: SUBJECT VERB,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: PREPOSITION,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: SYNTHESIS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: TRANSFORMATION OF SENTENCES,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: NO SOONER … THAN,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: HARDLY/ SCARCELY/ BARELY HAD … WHEN,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: REMOVE ‘TOO’ AND ADD TOO,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: IN SPITE/ DESPITE,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: ASSERTIVE TO EXCLAMATORY AND VICE VERSA,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: ASSERTIVE TO INTERROGATIVE AND VICE VERSA,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: LEST….SHOULD AND ALL OTHER TYPES OF TRANSFORMATIONS,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: ACTIVE PASSIVE VOICE,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: DIRECT INDIRECT SPEECH,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,16: WORD FORM,16,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,17: COMPREHENSION,17,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,18: DEGREES  OF COMPARISON,18,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,19: STORY WRITING,19,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,20: ARGUMENTATIVE ESSAY,20,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,21: DESCRIPTIVE ESSAY,21,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,22: NARRATIVE ESSAY,22,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,23: PICTURE COMPOSTION,23,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,24: ARTICLES,24,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,25: TENSES,25,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,26: GRID WRITNG,26,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: GOODS AND SERVICE TAX,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,2: BANKING,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: SHARES AND DIVIDENDS,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: LINEAR INEQUALITIES,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: QUADRATIC EQUATIONS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: SOLVING PROBLEM QUADRATIC EQUATIONS,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: RATIO AND PROPORTION,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: REMAINDER AND FACTOR THEOREM (FACTORISATION  OF POLYNOMIAL),8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: MATRICES,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: ARITHMETIC  PROGRESSION,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: GEOMETRIC PROGRESSION,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: REFLECTION,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,13: SECTION  AND MID POINT FORMULA,13,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,14: EQUATION OF A STRAIGHT LINE,14,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,15: SIMILARITY,15,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,16: LOCUS,16,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,17: CIRCLES,17,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,18: CONSTRUCTIONS,18,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,19: MENSURATION,19,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,20: TRIGONOMETRY IDENTITIES,20,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,21: HIGHT & DISTANCE,21,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,22: GRAPHICAL REPRESENTATION,22,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,23: PROBABILITY,23,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,1: FORCE,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,"2: WORK, ENERGY & POWER",2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,3: MACHINE,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,4: REFRACTION OF LIGHT AT PLANE SURFACE,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,5: REFRACTION THROUGH A LENS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,6: SPECTRUM,6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,7: SOUND,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,8: CURRENT ELECTRICITY,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,9: HOUSEHOLD CIRCUITS,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,10: ELECTRO-MAGNETISM,10,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,11: CALORIMETRY,11,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
,12: RADIOACTIVITY,12,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
